variant_id,T_K,I_peak,width,S_peak,kappa1,collapse_rmse
ip_max__w_rms__sp_local_avg__sc_fwhm,28,25,5.61354498833746,0.054344184311836,0.00761787926643214,0.976277082689522
ip_max__w_rms__sp_local_avg__sc_fwhm,30,20,5.51684023494123,0.0542349634077962,-0.0201658099783739,1.42571856262834
ip_max__w_rms__sp_local_avg__sc_fwhm,32,15,5.58735278841876,0.0451439029157808,-1.23389105609369,0.504930773689202
ip_max__w_rms__sp_local_avg__sc_fwhm,34,30,2.35481370000717,0.000215233618816269,-4.58423301582542,3.03278265061199
ip_max__w_rms__sp_local_avg__sc_rms,4,35,8.06244370347118,0.289166891071462,0.252591576132003,0.348736813657363
ip_max__w_rms__sp_local_avg__sc_rms,6,35,8.00603915807115,0.279272791526239,0.204222140071873,0.321173994556078
ip_max__w_rms__sp_local_avg__sc_rms,8,35,7.85061460579741,0.244084879350048,0.107624111288373,0.270783387316389
ip_max__w_rms__sp_local_avg__sc_rms,10,35,7.73708119613796,0.201653947176535,NaN,0.2271438141752
ip_max__w_rms__sp_local_avg__sc_rms,12,35,7.58944959696181,0.168994037092579,NaN,0.227391764343793
ip_max__w_rms__sp_local_avg__sc_rms,14,35,7.60126970671822,0.135602469533866,NaN,0.246099722677735
ip_max__w_rms__sp_local_avg__sc_rms,16,35,7.64528156331271,0.109663353680607,NaN,0.233389624120029
ip_max__w_rms__sp_local_avg__sc_rms,18,35,7.40068234592266,0.093020592592334,NaN,0.256914714849009
ip_max__w_rms__sp_local_avg__sc_rms,20,35,7.44628935345436,0.0789170268076045,NaN,0.16469069711094
ip_max__w_rms__sp_local_avg__sc_rms,22,30,7.19238059895516,0.0703805764109896,0.490677826617437,0.422464710397976
ip_max__w_rms__sp_local_avg__sc_rms,24,30,6.76709591522856,0.0659008764349502,0.0425703586329276,0.290671854872479
ip_max__w_rms__sp_local_avg__sc_rms,26,30,6.16925405449728,0.0581615830410284,-0.422513672071674,0.246746862062857
ip_max__w_rms__sp_local_avg__sc_rms,28,25,5.61354498833746,0.054344184311836,-0.0352734191128977,0.253268961550414
ip_max__w_rms__sp_local_avg__sc_rms,30,20,5.51684023494123,0.0542349634077962,NaN,0.321419205351227
ip_max__w_rms__sp_local_avg__sc_rms,32,15,5.58735278841876,0.0451439029157808,-1.46065481300148,0.509294813269741
ip_max__w_rms__sp_local_avg__sc_rms,34,30,2.35481370000717,0.000215233618816269,NaN,2.9285449622092
ip_max__w_rms__sp_local_avg__sc_asymmetric,4,35,8.06244370347118,0.289166891071462,0.0390686089689481,0.247595637690268
ip_max__w_rms__sp_local_avg__sc_asymmetric,6,35,8.00603915807115,0.279272791526239,-0.0305014316532918,0.241170528876874
ip_max__w_rms__sp_local_avg__sc_asymmetric,8,35,7.85061460579741,0.244084879350048,-0.166992655481497,0.221409483793135
