x,T_4_000K,T_6_000K,T_8_000K,T_10_000K,T_12_000K,T_14_000K,T_16_000K,T_18_000K,T_20_000K,T_22_000K,T_24_000K,T_26_000K,T_28_000K,T_30_000K
0.111415503254773,0.0229332722007733,0.0151580178679352,0.00357921277033814,-0.00101046838900227,0.000808277897857403,0.00211393858891869,0.00126405760343652,-0.000496836690955932,-0.00364180528447301,0.00566587319127514,-0.00862556002347404,-0.0120718743228351,-0.00956983181544766,0.00779739316621555
0.117228369760841,0.0213682402713207,0.0134688471421725,0.00173533677572934,-0.00269387117887481,-0.000643462314710137,0.000921095532211057,0.000257885606286659,-0.00138786225096076,-0.00443893079859976,0.00555021821130745,-0.00922740539472997,-0.0127016986459027,-0.0100691174014178,0.00705757916091045
0.123041236266908,0.019803208341868,0.0117796764164097,-0.000108539218879461,-0.00437727396874734,-0.00209520252727768,-0.000271747524496581,-0.000748286390863207,-0.00227888781096558,-0.00523605631272652,0.00543456323133975,-0.00982925076598589,-0.0133315229689702,-0.010568402987388,0.00631776515560536
0.128854102772976,0.0182381764124153,0.010090505690647,-0.00195241521348826,-0.00606067675861987,-0.00354694273984522,-0.00146459058120422,-0.00175445838801307,-0.00316991337097041,-0.00603318182685328,0.00531890825137205,-0.0104310961372418,-0.0139613472920378,-0.0110676885733581,0.00557795115030026
0.134666969279044,0.0166731444829627,0.00840133496488421,-0.00379629120809706,-0.0077440795484924,-0.00499868295241276,-0.00265743363791186,-0.00276063038516293,-0.00406093893097523,-0.00683030734098004,0.00520325327140436,-0.0110329415084977,-0.0145911716151054,-0.0115669741593283,0.00483813714499516
0.140479835785112,0.01510811255351,0.00671216423912147,-0.00564016720270587,-0.00942748233836493,-0.0064504231649803,-0.0038502766946195,-0.0037668023823128,-0.00495196449098006,-0.00762743285510679,0.00508759829143666,-0.0116347868797537,-0.015220995938173,-0.0120662597452984,0.00409832313969007
0.14629270229118,0.0135430806240573,0.00502299351335875,-0.00748404319731463,-0.0111108851282374,-0.00790216337754782,-0.00504311975132712,-0.00477297437946264,-0.00584299005098487,-0.00842455836923354,0.00497194331146896,-0.0122366322510096,-0.0158508202612405,-0.0125655453312686,0.00335850913438499
0.152105568797248,0.0119780486946046,0.00333382278759597,-0.00932791919192346,-0.01279428791811,-0.00935390359011538,-0.00623596280803477,-0.00577914637661253,-0.00673401561098971,-0.00922168388336031,0.00485628833150127,-0.0128384776222655,-0.0164806445843081,-0.0130648309172387,0.00261869512907987
0.157918435303316,0.010413016765152,0.00164465206183326,-0.0111717951865322,-0.0144776907079825,-0.0108056438026829,-0.0074288058647424,-0.00678531837376238,-0.00762504117099452,-0.010018809397487,0.00474063335153357,-0.0134403229935214,-0.0171104689073757,-0.0135641165032089,0.00187888112377479
0.163731301809384,0.0088479848356993,-4.45186639295159e-05,-0.0130156711811411,-0.0161610934978551,-0.0122573840152505,-0.00862164892145005,-0.00779149037091226,-0.00851606673099936,-0.0108159349116138,0.00462497837156587,-0.0140421683647774,-0.0177402932304432,-0.0140634020891791,0.00113906711846968
0.169544168315452,0.00728295290624667,-0.00173368938969223,-0.0148595471757498,-0.0178444962877276,-0.013709124227818,-0.00981449197815767,-0.00879766236806211,-0.00940709229100417,-0.0116130604257406,0.00450932339159818,-0.0146440137360333,-0.0183701175535108,-0.0145626876751492,0.000399253113164605
0.17535703482152,0.005717920976794,-0.00342286011545498,-0.0167034231703586,-0.0195278990776001,-0.0151608644403855,-0.0110073350348653,-0.00980383436521197,-0.010298117851009,-0.0124101859398673,0.00439366841163048,-0.0152458591072892,-0.0189999418765784,-0.0150619732611193,-0.000340560892140492
0.181169901327588,0.00415288904734132,-0.00511203084121772,-0.0185472991649674,-0.0212113018674726,-0.0166126046529531,-0.0122001780915729,-0.0108100063623618,-0.0111891434110138,-0.0132073114539941,0.00427801343166278,-0.0158477044785451,-0.0196297661996459,-0.0155612588470895,-0.00108037489744559
0.186982767833656,0.00258785711788865,-0.00680120156698047,-0.0203911751595762,-0.0228947046573451,-0.0180643448655206,-0.0133930211482806,-0.0118161783595117,-0.0120801689710186,-0.0140044369681208,0.00416235845169509,-0.016449549849801,-0.0202595905227135,-0.0160605444330597,-0.00182018890275068
0.192795634339724,0.00102282518843598,-0.00849037229274321,-0.022235051154185,-0.0245781074472177,-0.0195160850780881,-0.0145858642049882,-0.0128223503566616,-0.0129711945310235,-0.0148015624822476,0.00404670347172739,-0.017051395221057,-0.0208894148457811,-0.0165598300190298,-0.00256000290805578
0.198608500845792,-0.000542206741016689,-0.010179543018506,-0.0240789271487938,-0.0262615102370902,-0.0209678252906557,-0.0157787072616959,-0.0138285223538114,-0.0138622200910283,-0.0155986879963744,0.00393104849175969,-0.0176532405923129,-0.0215192391688487,-0.017059115605,-0.00329981691336087
0.204421367351859,-0.00210723867046932,-0.0118687137442687,-0.0259228031434026,-0.0279449130269627,-0.0224195655032232,-0.0169715503184035,-0.0148346943509613,-0.0147532456510331,-0.0163958135105011,0.003815393511792,-0.0182550859635688,-0.0221490634919162,-0.0175584011909701,-0.00403963091866596
0.210234233857927,-0.00367227059992202,-0.0135578844700315,-0.0277666791380114,-0.0296283158168353,-0.0238713057157908,-0.0181643933751111,-0.0158408663481112,-0.0156442712110379,-0.0171929390246279,0.0036997385318243,-0.0188569313348247,-0.0227788878149838,-0.0180576867769403,-0.00477944492397107
