"row_type","item_path","run_id","execution_status_missing_before","report_missing_before","figures_manifest_missing_before","execution_status_written","execution_status_backfilled_value","report_written","report_target_path","figures_manifest_written","figures_detected_count","has_run_manifest","has_error_log","script_path_from_manifest","classification","used_in_runs","usage_count","strategy_reason","completed_after"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_13_004253_aging_fm_using_dip_clock","run_2026_03_13_004253_aging_fm_using_dip_clock","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_13_004253_aging_fm_using_dip_clock\reports\report.md","YES","9","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_13_005134_aging_fm_using_dip_clock","run_2026_03_13_005134_aging_fm_using_dip_clock","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_13_005134_aging_fm_using_dip_clock\reports\report.md","YES","9","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_13_005805_aging_fm_using_extracted_dip_tau","run_2026_03_13_005805_aging_fm_using_extracted_dip_tau","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_13_005805_aging_fm_using_extracted_dip_tau\reports\report.md","YES","0","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_13_010148_aging_fm_using_extracted_dip_tau","run_2026_03_13_010148_aging_fm_using_extracted_dip_tau","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_13_010148_aging_fm_using_extracted_dip_tau\reports\report.md","YES","3","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_13_011143_aging_fm_timescale_analysis","run_2026_03_13_011143_aging_fm_timescale_analysis","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_13_011143_aging_fm_timescale_analysis\reports\report.md","YES","12","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_13_012211_aging_fm_timescale_analysis","run_2026_03_13_012211_aging_fm_timescale_analysis","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_13_012211_aging_fm_timescale_analysis\reports\report.md","YES","12","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_13_013634_aging_fm_timescale_analysis","run_2026_03_13_013634_aging_fm_timescale_analysis","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_13_013634_aging_fm_timescale_analysis\reports\report.md","YES","12","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_070731_tri_scaling_test","run_2026_03_14_070731_tri_scaling_test","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_070731_tri_scaling_test\reports\report.md","YES","0","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_070929_tri_scaling_test","run_2026_03_14_070929_tri_scaling_test","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_070929_tri_scaling_test\reports\report.md","YES","6","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_071151_tri_scaling_test","run_2026_03_14_071151_tri_scaling_test","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_071151_tri_scaling_test\reports\report.md","YES","21","YES","NO","","","","","","YES"
